Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"1ST_CHARGE_2.MACHINE_FINISH_TIME_B","E01:14853",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.MACHINE_FINISH_TIME",
"1ST_CHARGE_2.MACHINE_FINISH_TIME_C","E01:14854",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.MACHINE_FINISH_TIME",
"1ST_CHARGE_2.MACHINE_FINISH_TIME_D","E01:14855",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.MACHINE_FINISH_TIME",
"1ST_CHARGE_2.MACHINE_STATUS","E01:14841",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.MACHINE_STATUS",
"1ST_CHARGE_2.MACHINE_STATUS_TIME_A","E01:14842",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.MACHINE_STATUS_TIME",
"1ST_CHARGE_2.MACHINE_STATUS_TIME_B","E01:14843",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.MACHINE_STATUS_TIME",
"1ST_CHARGE_2.MACHINE_STATUS_TIME_C","E01:14844",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.MACHINE_STATUS_TIME",
"1ST_CHARGE_2.MACHINE_STATUS_TIME_D","E01:14845",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.MACHINE_STATUS_TIME",
"1ST_CHARGE_2.OPERATOR_FINISH","E01:14856",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.OPERATOR_FINISH",
"1ST_CHARGE_2.OPERATOR_FINISH_TIME_A","E01:14857",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.OPERATOR_FINISH_TIME",
"1ST_CHARGE_2.OPERATOR_FINISH_TIME_B","E01:14858",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.OPERATOR_FINISH_TIME",
"1ST_CHARGE_2.OPERATOR_FINISH_TIME_C","E01:14859",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.OPERATOR_FINISH_TIME",
"1ST_CHARGE_2.OPERATOR_FINISH_TIME_D","E01:14860",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.OPERATOR_FINISH_TIME",
"1ST_CHARGE_2.OPERATOR_STATUS","E01:14846",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.OPERATOR_STATUS",
"1ST_CHARGE_2.OPERATOR_STATUS_TIME_A","E01:14847",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.OPERATOR_STATUS_TIME",
"1ST_CHARGE_2.OPERATOR_STATUS_TIME_B","E01:14848",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.OPERATOR_STATUS_TIME",
"1ST_CHARGE_2.OPERATOR_STATUS_TIME_C","E01:14849",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.OPERATOR_STATUS_TIME",
"1ST_CHARGE_2.OPERATOR_STATUS_TIME_D","E01:14850",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.OPERATOR_STATUS_TIME",
"1ST_CHARGE_2.PHS_OK","E01:14801",Word,1,R/W,10,,,,,,,,,,"1ST_CHARGE_2.PHS_OK",
"1ST_CHARGE_2.REQUEST_TO_PHS","E01:14800",Word,1,R/W,10,,,,,,,,,,"1ST_CHARGE_2.REQUEST_TO_PHS",
"1ST_CHARGE_2.SUPPLY_PRESSURE","E01:14929",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.SUPPLY_PRESSURE",
"1ST_CHARGE_2.TIMEOUT_TIMER","E01:14932",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.TIMEOUT_TIMER",
"1ST_CHARGE_2.UNIT_DATA","E01:14900.50H",String,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.UNIT_DATA",
"1ST_CHARGE_2.VACUUM_DETERMINE","E01:14931",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.VACUUM_DETERMINE",
"1ST_CHARGE_2.VACUUM_TIMER","E01:14930",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.VACUUM_TIMER",
"1ST_CHARGE_2.WORK_PIECE_ARRIVE","E01:14823",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.WORK_PIECE_ARRIVE",
"1ST_CHARGE_2.WORK_PIECE_ARRIVE_END_TIME_A","E01:14828",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.WORK_PIECE_ARRIVE_END_TIME",
"1ST_CHARGE_2.WORK_PIECE_ARRIVE_END_TIME_B","E01:14829",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.WORK_PIECE_ARRIVE_END_TIME",
"1ST_CHARGE_2.WORK_PIECE_ARRIVE_END_TIME_C","E01:14830",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.WORK_PIECE_ARRIVE_END_TIME",
"1ST_CHARGE_2.WORK_PIECE_ARRIVE_END_TIME_D","E01:14831",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.WORK_PIECE_ARRIVE_END_TIME",
"1ST_CHARGE_2.WORK_PIECE_ARRIVE_START_TIME_A","E01:14824",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.WORK_PIECE_ARRIVE_START_TIME",
"1ST_CHARGE_2.WORK_PIECE_ARRIVE_START_TIME_B","E01:14825",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.WORK_PIECE_ARRIVE_START_TIME",
"1ST_CHARGE_2.WORK_PIECE_ARRIVE_START_TIME_C","E01:14826",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.WORK_PIECE_ARRIVE_START_TIME",
"1ST_CHARGE_2.WORK_PIECE_ARRIVE_START_TIME_D","E01:14827",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.WORK_PIECE_ARRIVE_START_TIME",
"1ST_CHARGE_3.CYCLE_TIME","E01:16132",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.CYCLE_TIME",
"1ST_CHARGE_3.DISCHARGE_PRESSURE","E01:16128",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.DISCHARGE_PRESSURE",
"1ST_CHARGE_3.EMERGENCY_CALL","E01:16014",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL",
"1ST_CHARGE_3.EMERGENCY_CALL_END_TIME_A","E01:16019",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_3.EMERGENCY_CALL_END_TIME_B","E01:16020",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_3.EMERGENCY_CALL_END_TIME_C","E01:16021",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_3.EMERGENCY_CALL_END_TIME_D","E01:16022",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_3.EMERGENCY_CALL_START_TIME_A","E01:16015",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_3.EMERGENCY_CALL_START_TIME_B","E01:16016",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_3.EMERGENCY_CALL_START_TIME_C","E01:16017",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_3.EMERGENCY_CALL_START_TIME_D","E01:16018",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_3.EQUIPMENT_CALL_A","E01:16002",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL",
"1ST_CHARGE_3.EQUIPMENT_CALL_B","E01:16003",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL",
"1ST_CHARGE_3.EQUIPMENT_CALL_C","E01:16004",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL",
"1ST_CHARGE_3.EQUIPMENT_CALL_D","E01:16005",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.EQUIPMENT_CALL",
